Species Latin Name,Common Name,Address,Comments,Planting season,Planting year ,tree caretaker,nursery,replacement tree,city,Tree amount,Unnamed: 11,latitude,longitude
tilia cordata,Linden ,327 Stevens ST,Arbor Day Planting,Spring,2017,Camden Day school,Fernbrook,,Camden,4,,39.94205,-75.12355
ulmus americanana,American Elm (Princeton),327Stevens ST ,Arbor Day Planting,Spring,2017,Camden Day school,Fernbrook,,Camden,2,,39.94205,-75.12355
syringa reticulate,Japanese Tree lilac,327 Stevens St ,Arbor Day Planting,Spring,2017,Camden Day school,Fernbrook,,Camden,2,,39.94205,-75.12355
syringa reticulate,Japanese Tree lilac,338 Stevens ,Arbor Day Planting,Spring,2017,Patricia Holmes,Fernbrook,,Camden,1,,39.94159,-75.12338
prunus okame,okame cherries,923 Monmouth St ,GC planting,Spring,2017,Sara O'Brien,Plant Detectives,,Gloucester City,2,,39.8943,-75.11559
cercis canadensis,Eastern redbud,921 Monmouth ,GC planting,Spring,2017,Colleen & Patrick Hedly,Plant Detectives,1.0,Gloucester City,1,,39.89434,-75.11566
prunus okame,okame cherries,915 Monmouth ,GC planting,Spring,2017,Michael dePoder,Plant Detectives,,Gloucester City,2,,39.89447,-75.11594
acer campestre,hedge maples,936 Monmouth St,GC planting,Spring,2017,Lacy Russell,Plant Detectives,,Gloucester City,2,,39.89378,-75.11552
prunus okame,okame cherry ,934 Monmouth St,GC planting,Spring,2017,Helen Johnson,Plant Detectives,,Gloucester City,1,,39.89383,-75.1156
prunus yoshino,yoshino cherry ,900 Mounmouth St,GC planting,Spring,2017,Carl Lee,Plant Detectives,,Gloucester City,3,,39.89436,-75.11657
prunus okame,okame cherry ,928 Monmouth St,GC planting,Spring,2017,Carole Walens,Plant Detectives,,Gloucester City,1,,39.89391,-75.11579
acer campestre,hedge maples,902 Monmouth ,GC planting,Spring,2017,Maureen Davis,Plant Detectives,,Gloucester City,1,,39.89428,-75.11652
prunus okame,okame cherry ,913 Monmouth ,GC planting,Spring,2017,Jacklyn Ulmer,Plant Detectives,,Gloucester City,1,,39.89453,-75.116
acer campestre,hedge maples,931 Monmouth ,GC planting,Spring,2017,Kenney Mostronangelo,Plant Detectives,,Gloucester City,1,,39.89418,-75.11535
prunus okame,okame cherry ,919 Monmouth ,GC planting,Spring,2017,Nicole Ryder,Plant Detectives,,Gloucester City,1,,39.89438,-75.11575
prunus okame,okame cherry ,937 Monmouth St,GC planting,Spring,2017,Chris James,Plant Detectives,,Gloucester City,2,,39.89403,-75.11512
prunus yoshino,yoshino cherry ,911 Monmouth ,GC planting,Spring,2017,Kristn Watermaysk,Plant Detectives,,Gloucester City,1,,39.89455,-75.11611
prunus okame,okame cherry ,916 Monmouth ,GC planting,Spring,2017,Mark Esworthy,Plant Detectives,,Gloucester City,1,,39.89409,-75.11616
cercis canadensis,Eastern redbud,922 Monmouth ,GC planting,Spring,2017,Tina Orsino,Plant Detectives,1.0,Gloucester City,1,,39.89401,-75.11599
prunus yoshino,yoshino cherry ,940 Monmouth ,GC planting,Spring,2017,Michael Kelly,Plant Detectives,,Gloucester City,1,,39.89374,-75.11543
acer campestre,hedge maple,935 Monmouth ,GC planting,Spring,2017,vacant,Plant Detectives,,Gloucester City,1,,39.89413,-75.11523
prunus okame,okame cherry ,2 S Brown St ,GC planting,Spring,2017,Susan Panghun,Plant Detectives,,Gloucester City,2,,39.89445,-75.11655
acer rubrum,"Red Maple, October glory ",Johnson Blvd,GC planting,Spring,2017,City of Gloucester ,Plant Detectives,,Gloucester City,3,,,
platanus acerfolia,Londonplane,Johnson Blvd,GC planting,Spring,2017,City of Gloucester ,Plant Detectives,,Gloucester City,10,,,
acer rubrum,Red maple,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of Camden,Plant Detectives,,Camden,10,,39.95353,-75.12631
platanus acerfolia,Londonplane,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of Camden,Plant Detectives,,Camden,18,,39.95353,-75.12631
cercis canadensis,Eastern redbud,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of Camden,Plant Detectives,,Camden,13,,39.95353,-75.12631
magnolia granifolia,Magnolia,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of Camden,Plant Detectives,,Camden,2,,39.95353,-75.12631
cornus florida,Dogwood,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of Camden,Plant Detectives,,Camden,5,,39.95353,-75.12631
taxodium distichum,Bald cypress,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of Camden,Plant Detectives,,Camden,6,,39.95353,-75.12631
juniperus,Juniper ,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of Camden,Plant Detectives,,Camden,6,,39.95353,-75.12631
betula nigra,River Birch,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of Camden,Plant Detectives,,Camden,2,,39.95353,-75.12631
platanus acerfolia,American sycamore,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of CAmden,Plant Detectives,,Camden,6,,39.95353,-75.12631
quercus acutissima,sawtooth oak,801 Delaware Ave,Coopers Poynt Park planting,Spring,2017,City of Camden,Plant Detectives,,Camden,21,,39.95353,-75.12631
cercis canadensis,Eastern redbud,1246 Mechanic St ,Brother Saleem planting,Fall ,2017,Manerva Murray,Plant Detectives,,Camden,1,,39.93038,-75.10315
