,Species - Latin Name,Common Name,Address,Comments,Planting Season,Planting Year,Tree Care-taker,Nursery,Replacement tree,City,,,
1,Acer rubrum 'October Glory',October Glory Maple,661 S. 12th Street,Newark YouthCorps event,Fall,2006,Resident,Fernbrook Farms,,Newark,,,
2,Acer rubrum 'October Glory',October Glory Maple,685 S. 12th Street,Newark YouthCorps event,Fall,2006,E. Franklin & Sons Auto Body,Fernbrook Farms,,Newark,,,
3,Acer rubrum 'October Glory',October Glory Maple,685 S. 12th Street,Newark YouthCorps event,Fall,2006,E. Franklin & Sons Auto Body,Fernbrook Farms,,Newark,,,
4,Acer rubrum 'October Glory',October Glory Maple,685 S. 12th Street,Newark YouthCorps event,Fall,2006,E. Franklin & Sons Auto Body,Fernbrook Farms,,Newark,,,
5,Acer rubrum 'October Glory',October Glory Maple,685 S. 12th Street,Newark YouthCorps event,Fall,2006,E. Franklin & Sons Auto Body,Fernbrook Farms,,Newark,,,
6,Acer campestre,Hedge Maple,690 S. 12th Street,Newark YouthCorps event,Fall,2006,New Eden Baptist Church,Fernbrook Farms,,Newark,,,
7,Acer campestre,Hedge Maple,690 S. 12th Street,Newark YouthCorps event,Fall,2006,New Eden Baptist Church,Fernbrook Farms,,Newark,,,
8,Acer campestre,Hedge Maple,49 Woodland Ave,Newark YouthCorps event,Fall,2006,Resident,Fernbrook Farms,,Newark,,,
9,Acer campestre,Hedge Maple,49 Woodland Ave,Newark YouthCorps event,Fall,2006,Resident,Fernbrook Farms,,Newark,,,
10,Acer campestre,Hedge Maple,53 Woodland Ave,Newark YouthCorps event,Fall,2006,Resident,Fernbrook Farms,,Newark,,,
11,Acer campestre,Hedge Maple,Pierce Street at Woodland,Triangle Park,Fall,2006,Newark YC,Fernbrook Farms,,Newark,,,
12,Acer campestre,Hedge Maple,Pierce Street at Woodland,Triangle Park,Fall,2006,Newark YC,Fernbrook Farms,,Newark,,,
13,Gleditsia triacanthos inermis'Skyline',Skyline' Honeylocust,Woodland at Pierce St,Triangle Park,Fall,2006,Newark YC,Fernbrook Farms,,Newark,,,
14,Gleditsia triacanthos inermis'Skyline',Skyline' Honeylocust,Woodland at Pierce St,Triangle Park,Fall,2006,Newark YC,Fernbrook Farms,,Newark,,,
15,Acer rubrum 'October Glory',October Glory Maple,Woodland at Pierce St,Triangle Park,Fall,2006,Newark YC,Fernbrook Farms,,Newark,,,
16,Acer campestre,Hedge Maple,573 Springfield Ave,Pierce St at Springfield,Fall,2006,House of Mercy,Fernbrook Farms,,Newark,,,
17,Acer campestre,Hedge Maple,573 Springfield Ave,Pierce St at Springfield,Fall,2006,House of Mercy,Fernbrook Farms,,Newark,,,
18,Gleditsia triacanthos inermis'Skyline',Skyline' Honeylocust,573 Springfield Ave,Springfield Ave,Fall,2006,House of Mercy,Fernbrook Farms,,Newark,,,
19,Gleditsia triacanthos inermis'Skyline',Skyline' Honeylocust,573 Springfield Ave,Pierce St at Springfield,Fall,2006,House of Mercy,Fernbrook Farms,,Newark,,,
20,Gleditsia triacanthos inermis'Skyline',Skyline' Honeylocust,573 Springfield Ave,Pierce St at Springfield,Fall,2006,House of Mercy,Fernbrook Farms,,Newark,,,
21,Acer rubrum 'October Glory',October Glory Maple,Pierce St at Springfield,Parking lot,Fall,2006,Newark YC,Fernbrook Farms,,Newark,,,
22,Acer rubrum 'October Glory',October Glory Maple,Pierce St at Springfield,Parking lot,Fall,2006,Newark YC,Fernbrook Farms,,Newark,,,
23,Gleditsia triacanthos inermis'Skyline',Skyline' Honeylocust,Pierce St at Springfield,Parking lot,Fall,2006,Newark YC,Fernbrook Farms,,Newark,,,
24,Cladrastris Kentukea,Yellowwood,388 Bergen Street,on front lawn,Fall,2006,Cleveland Elementary School,Princeton Nurseries,,Newark,,,
25,Cladrastris Kentukea,Yellowwood,388 Bergen Street,on front lawn,Fall,2006,Cleveland Elementary School,Princeton Nurseries,,Newark,,,
26,Cladrastris Kentukea,Yellowwood,388 Bergen Street,on front lawn,Fall,2006,Cleveland Elementary School,Princeton Nurseries,,Newark,,,
27,Cladrastris Kentukea,Yellowwood,388 Bergen Street,on front lawn,Fall,2006,Cleveland Elementary School,Princeton Nurseries,,Newark,,,
28,Cornus x Celestial,Celestial' Pink dogwood,388 Bergen Street,on front lawn,Fall,2006,Cleveland Elementary School,Princeton Nurseries,,Newark,,,
29,Cornus x Constellation,Constellation' Pink dogwood,388 Bergen Street,on front lawn,Fall,2006,Cleveland Elementary School,Princeton Nurseries,,Newark,,,
30,Gymnocladus dioicus,Kentucky coffeetree,388 Bergen Street,17th Street side,Fall,2006,Cleveland Elementary School,Princeton Nurseries,,Newark,,,
31,Crataegus viridis Winter King,Winter King Hawthorne,388 Bergen Street,17th Street side,Fall,2006,Cleveland Elementary School,Princeton Nurseries,,Newark,,,
