,Species - Latin Name,Common Name,Address,Comments,Planting Season,Planting Year,Tree Care-taker,Nursery,Replacement tree,City,,,
1,Acer rubrum 'October Glory',October Glory Maple,661 S. 12th Street,Newark YouthCorps event,Fall,2006,Resident,Fernbrook Farms,,Newark,,,
2,Acer rubrum 'October Glory',October Glory Maple,685 S. 12th Street,Newark YouthCorps event,Fall,2006,E. Franklin & Sons Auto Body,Fernbrook Farms,,Newark,,,
3,Acer rubrum 'October Glory',October Glory Maple,685 S. 12th Street,Newark YouthCorps event,Fall,2006,E. Franklin & Sons Auto Body,Fernbrook Farms,,Newark,,,
4,Acer rubrum 'October Glory',October Glory Maple,685 S. 12th Street,Newark YouthCorps event,Fall,2006,E. Franklin & Sons Auto Body,Fernbrook Farms,,Newark,,,
5,Acer rubrum 'October Glory',October Glory Maple,685 S. 12th Street,Newark YouthCorps event,Fall,2006,E. Franklin & Sons Auto Body,Fernbrook Farms,,Newark,,,
6,Acer campestre,Hedge Maple,690 S. 12th Street,Newark YouthCorps event,Fall,2006,New Eden Baptist Church,Fernbrook Farms,,Newark,,,
7,Acer campestre,Hedge Maple,690 S. 12th Street,Newark YouthCorps event,Fall,2006,New Eden Baptist Church,Fernbrook Farms,,Newark,,,
8,Acer campestre,Hedge Maple,49 Woodland Ave,Newark YouthCorps event,Fall,2006,Resident,Fernbrook Farms,,Newark,,,
9,Acer campestre,Hedge Maple,49 Woodland Ave,Newark YouthCorps event,Fall,2006,Resident,Fernbrook Farms,,Newark,,,
10,Acer campestre,Hedge Maple,53 Woodland Ave,Newark YouthCorps event,Fall,2006,Resident,Fernbrook Farms,,Newark,,,
